,word1,word2,label
0,абонемент,абонент,1
1,абонент,абонемент,1
2,абстрактность,абстракция,1
3,абстракция,абстрактность,1
4,авантюрин,авантюрист,1
5,авантюрист,авантюрин,1
6,автобиографический,автобиографичный,1
7,автобиографичный,автобиографический,1
8,автоматический,автоматичный,1
9,автоматичный,автоматический,1
10,автономия,автономность,1
11,автономность,автономия,1
12,авторитарный,авторитетный,1
13,авторитетный,авторитарный,1
14,адресант,адресат,1
15,адресат,адресант,1
16,азарт,азартность,1
17,азартность,азарт,1
18,академический,академичный,1
19,академичный,академический,1
20,аккордный,аккордовый,1
21,аккордовый,аккордный,1
22,акселерат,акселератор,1
23,акселератор,акселерат,1
24,активировать,активизировать,1
25,активизировать,активировать,1
26,акулий,акуловый,1
27,акуловый,акулий,1
28,акционерный,акционерский,1
29,акционерский,акционерный,1
30,аллегорический,аллегоричный,1
31,аллегоричный,аллегорический,1
32,аллегри,аллегро,1
33,аллегро,аллегри,1
34,анархический,анархичный,1
35,анархичный,анархический,1
36,английский,англиканский,1
37,англиканский,английский,1
38,анекдотический,анекдотичный,1
39,анекдотичный,анекдотический,1
40,антагонистический,антагонистичный,1
41,антагонистичный,антагонистический,1
42,Антарктика,Арктика,1
43,Арктика,Антарктика,1
44,антипатический,антипатичный,1
45,антипатичный,антипатический,1
46,антипедагогический,антипедагогичный,1
47,антипедагогичный,антипедагогический,1
48,антрацитный,антрацитовый,1
49,антрацитовый,антрацитный,1
50,апокрифический,апокрифичный,1
51,апокрифичный,апокрифический,1
52,аргонавт,астронавт,1
53,астронавт,аргонавт,1
54,аристократический,аристократичный,1
55,аристократичный,аристократический,1
56,аритмический,аритмичный,1
57,аритмичный,аритмический,1
58,ароматический,ароматичный,1
59,ароматичный,ароматический,1
60,артельный,артельский,1
61,артельский,артельный,1
62,артистический,артистичный,1
63,артистичный,артистический,1
64,архаический,архаичный,1
65,архаичный,архаический,1
66,аспирант,аспират,1
67,аспират,аспирант,1
68,астматический,астматичный,1
69,астматичный,астматический,1
70,атавистический,атавистичный,1
71,атавистичный,атавистический,1
72,атака,контратака,1
73,контратака,атака,1
74,Атлантида,Атлантика,1
75,Атлантика,Атлантида,1
76,бабий,бабский,1
77,бабский,бабий,1
78,барский,барственный,1
79,барственный,барский,1
80,беглец,беженец,1
81,беженец,беглец,1
82,бедный,бедственный,1
83,бедственный,бедный,1
84,бедняга,бедняк,1
85,бедняк,бедняга,1
86,безвинный,невинный,1
87,невинный,безвинный,1
88,безгласный,негласный,1
89,негласный,безгласный,1
90,безголосый,безголосный,1
91,безголосный,безголосый,1
92,безграмотный,неграмотный,1
93,неграмотный,безграмотный,1
94,безграничный,неограниченный,1
95,неограниченный,безграничный,1
96,безделица,бездельница,1
97,бездельница,безделица,1
98,беззаконие,беззаконность,1
99,беззаконность,беззаконие,1
100,безликий,безличный,1
101,безличный,безликий,1
102,безответный,безответственный,1
103,безответственный,безответный,1
104,безумие,безумство,1
105,безумство,безумие,1
106,безыскусный,безыскусственный,1
107,безыскусственный,безыскусный,1
108,белеть,белить,1
109,белить,белеть,1
110,бережливость,бережность,1
111,бережность,бережливость,1
112,бесчувственность,бесчувствие,1
113,бесчувствие,бесчувственность,1
114,благодарный,благодарственный,1
115,благодарственный,благодарный,1
116,благотворительный,благотворный,1
117,благотворный,благотворительный,1
118,благоустроенность,благоустройство,1
119,благоустройство,благоустроенность,1
120,ближний,близкий,1
121,близкий,ближний,1
122,блистать,блестеть,1
123,блестеть,блистать,1
124,блудить,блуждать,1
125,блуждать,блудить,1
126,бобёр,бобр,1
127,бобр,бобёр,1
128,болезненный,болезный,1
129,болезный,болезненный,1
130,болотистый,болотный,1
131,болотный,болотистый,1
132,борзой,борзый,1
133,борзый,борзой,1
134,бородастый,бородатый,1
135,бородатый,бородастый,1
136,братний,братский,1
137,братский,братний,1
138,бродяжий,бродячий,1
139,бродячий,бродяжий,1
140,будний,будничный,1
141,будничный,будний,1
142,булавочный,булавчатый,1
143,булавчатый,булавочный,1
144,бунтарь,бунтовщик,1
145,бунтовщик,бунтарь,1
146,бур,бурав,1
147,бурав,бур,1
148,бывалый,бывший,1
149,бывший,бывалый,1
150,в общем,вообще,1
151,вообще,в общем,1
152,в одиночестве,наедине,1
153,наедине,в одиночестве,1
154,вакансия,вакация,1
155,вакация,вакансия,1
156,вакхальный,вакханальный,1
157,вакханальный,вакхальный,1
158,ванна,ванная,1
159,ванная,ванна,1
160,варение,варенье,1
161,варенье,варение,1
162,варенный,варёный,1
163,варёный,варенный,1
164,вариант,инвариант,1
165,инвариант,вариант,1
166,варкий,варочный,1
167,варочный,варкий,1
168,вассальный,вассальский,1
169,вассальский,вассальный,1
170,вафельница,вафельщица,1
171,вафельщица,вафельница,1
172,вбежать,взбежать,1
173,взбежать,вбежать,1
174,вбить,взбить,1
175,взбить,вбить,1
176,ввалить,взвалить,1
177,взвалить,ввалить,1
178,вдеть,вздеть,1
179,вздеть,вдеть,1
180,вдовий,вдовый,1
181,вдовый,вдовий,1
182,вдох,вздох,1
183,вздох,вдох,1
184,вдохнуть,вздохнуть,1
185,вздохнуть,вдохнуть,1
186,вегетативный,вегетационный,1
187,вегетационный,вегетативный,1
188,вековой,вечный,1
189,вечный,вековой,1
190,великаний,великанский,1
191,великанский,великаний,1
192,великий,величественный,1
193,величественный,великий,1
194,величие,величина,1
195,величина,величие,1
196,венерический,венерологический,1
197,венерологический,венерический,1
198,венец,венок,1
199,венок,венец,1
200,вера,доверие,1
201,доверие,вера,1
202,веселеть,веселить,1
203,веселить,веселеть,1
204,весёлый,увеселительный,1
205,увеселительный,весёлый,1
206,ветровой,ветряной,1
207,ветряной,ветровой,1
208,вечерня,вечеря,1
209,вечеря,вечерня,1
210,вешалка,вешала,1
211,вешала,вешалка,1
212,взаимопонимание,понимание,1
213,понимание,взаимопонимание,1
214,взбитый,сбитый,1
215,сбитый,взбитый,1
216,взвесить,свесить,1
217,свесить,взвесить,1
218,вздрогнуть,дрогнуть,1
219,дрогнуть,вздрогнуть,1
220,взрослеть,взрослить,1
221,взрослить,взрослеть,1
222,взрыть,врыть,1
223,врыть,взрыть,1
224,взыскательный,изысканный,1
225,изысканный,взыскательный,1
226,видение,видение,1
227,видение,видение,1
228,виноватый,виновный,1
229,виновный,виноватый,1
230,вклад,вложение,1
231,вложение,вклад,1
232,владеть,обладать,1
233,обладать,владеть,1
234,вначале,изначально,1
235,изначально,вначале,1
236,внеклассный,внеклассовый,1
237,внеклассовый,внеклассный,1
238,водный,водяной,1
239,водяной,водный,1
240,воедино,заодно,1
241,заодно,воедино,1
242,военный,воинский,1
243,воинский,военный,1
244,вожделенный,вожделеющий,1
245,вожделеющий,вожделенный,1
246,возбуждать,побуждать,1
247,побуждать,возбуждать,1
248,возлагать,налагать,1
249,налагать,возлагать,1
250,возмутительный,возмущённый,1
251,возмущённый,возмутительный,1
252,возраст,рост,1
253,рост,возраст,1
254,воинственный,воинствующий,1
255,воинствующий,воинственный,1
256,войти,взойти,1
257,взойти,войти,1
258,волнующий,волнительный,1
259,волнительный,волнующий,1
260,волосатый,волосистый,1
261,волосистый,волосатый,1
262,вольный,произвольный,1
263,произвольный,вольный,1
264,вороний,вороновый,1
265,вороновый,вороний,1
266,воскресать,воскрешать,1
267,воскрешать,воскресать,1
268,воскресение,воскресенье,1
269,воскресенье,воскресение,1
270,воспитательный,воспитательский,1
271,воспитательский,воспитательный,1
272,восполнить,заполнить,1
273,заполнить,восполнить,1
274,восприемник,преемник,1
275,преемник,восприемник,1
276,восход,всход,1
277,всход,восход,1
278,впрыгнуть,вспрыгнуть,1
279,вспрыгнуть,впрыгнуть,1
280,враждебный,вражеский,1
281,вражеский,враждебный,1
282,временник,временщик,1
283,временщик,временник,1
284,временной,временный,1
285,временный,временной,1
286,вскрытие,раскрытие,1
287,раскрытие,вскрытие,1
288,вспоминать,поминать,1
289,поминать,вспоминать,1
290,вспыльчивость,пылкость,1
291,пылкость,вспыльчивость,1
292,встать,стать,1
293,стать,встать,1
294,встряхнуть,тряхнуть,1
295,тряхнуть,встряхнуть,1
296,вступить,поступить,1
297,поступить,вступить,1
298,всякий,всяческий,1
299,всяческий,всякий,1
300,выбор,подбор,1
301,подбор,выбор,1
302,выборный,выборочный,1
303,выборочный,выборный,1
304,вывёртываться,увёртываться,1
305,увёртываться,вывёртываться,1
306,выгода,выгодность,1
307,выгодность,выгода,1
308,выдача,подача,1
309,подача,выдача,1
310,выдержать,сдержать,1
311,сдержать,выдержать,1
312,выжидательный,выжидающий,1
313,выжидающий,выжидательный,1
314,вымысел,измышление,1
315,измышление,вымысел,1
316,выписать,подписать,1
317,подписать,выписать,1
318,выплатить,заплатить,1
319,заплатить,выплатить,1
320,вырастить,нарастить,1
321,нарастить,вырастить,1
322,высветить,высветлить,1
323,высветлить,высветить,1
324,высокий,высотный,1
325,высотный,высокий,1
326,высший,вышний,1
327,вышний,высший,1
328,выучить,изучить,1
329,изучить,выучить,1
330,вязаться,связываться,1
331,связываться,вязаться,1
332,гагарий,гагаровый,1
333,гагаровый,гагарий,1
