,word1,word2,label
0,клетчатый,грамматический,0
1,целый,цельный,1
2,заводской,вскрытие,0
3,нафталин,чародейный,0
4,сыскать,снискать,1
5,начертать,начертить,1
6,одеть,отгрызаться,0
7,личностный,личный,1
8,чеканный,чеканочный,1
9,опечатки,декларационный,0
10,хлеборобный,хлеборобский,1
11,кондукторский,исторический,0
12,простецкий,зеленить,0
13,обвязать,антипедагогичный,0
14,игристый,игривый,1
15,спасательный,обличительский,0
16,светить,светлить,1
17,автоматичный,автоматический,1
18,цикличный,циклический,1
19,накрапывать,накрапливать,1
20,великанский,ловчий,0
21,надувательский,надувательный,1
22,земляной,земной,1
23,непроницаемый,мороженый,0
24,натуралистический,отклонение,0
25,понятливый,склочный,0
26,действительный,белить,0
27,двойственный,двоякий,1
28,антипедагогический,изнашиваемость,0
29,отречение,могильщик,0
30,возраст,рост,1
31,мудрить,вариант,0
32,законодательский,зловещий,0
33,глубинный,глубокий,1
34,неврастенический,неврастеничный,1
35,могущественный,могучий,1
36,трубчатый,трубочный,1
37,драматический,взбить,0
38,швейцар,швейцарец,1
39,героический,геройский,1
40,монистичный,монистический,1
41,защитительный,ловкий,0
42,воинствующий,борзый,0
43,совестливо,шефствовать,0
44,гадальный,гадательный,1
45,нитчатый,ниточный,1
46,элитный,благотворительный,0
47,придворный,дворовый,1
48,педагогичный,педагогический,1
49,энциклопедический,энциклопедичный,1
50,красочный,булавочный,0
51,жалостно,распутница,0
52,сапожный,кожаный,0
53,огородить,оградить,1
54,виноватый,виновный,1
55,газовик,газовщик,1
56,наличность,астматичный,0
57,мелодраматический,мелодраматичный,1
58,гагаровый,гагарий,1
59,иструхляветь,эффектность,0
60,методистский,методический,1
61,обездушеть,обездушить,1
62,ответственный,ответный,1
63,возмутительный,исток,0
64,демократия,мистичный,0
65,романтичный,романтический,1
66,малопонятливый,малопонятный,1
67,поручительный,поручительский,1
68,примотать,приметать,1
69,ниточный,нитчатый,1
70,хвостистый,хвостистский,1
71,реалистичный,реалистический,1
72,клеточный,клетчатый,1
73,уклоняться,отклоняться,1
74,разодеть,раздеть,1
75,флегматический,увеселительный,0
76,языковой,скобчатый,0
77,лиричный,лирический,1
78,обездушить,обездушеть,1
79,фланелевый,фланельный,1
80,зеленить,декоративный,0
81,представить,предоставить,1
82,соседский,соседний,1
83,живучий,живительный,1
84,обезводеть,обезводить,1
85,мучительский,расточительский,0
86,головешки,головашки,1
87,полированный,полировочный,1
88,фабрикант,фабрикат,1
89,тень,темь,1
90,обесплодеть,могущественный,0
91,венерический,Атлантика,0
92,самодурский,сравнительный,0
93,метод,поэтический,0
94,венерический,дельфиновый,0
95,осиротеть,осиротить,1
96,экономичный,экономический,1
97,мучительный,мучительский,1
98,ломить,ломать,1
99,зубатый,конфузный,0
100,доходчивый,доходный,1
101,гарант,гарантия,1
102,академический,академичный,1
103,телевизионник,телевизионщик,1
104,экологический,экологичный,1
105,останки,доверительность,0
106,пансионер,сатирический,0
107,дарственная,дар,1
108,цепенеть,цепенить,1
109,домовой,домовый,1
110,слоновий,слоновый,1
111,изначально,обидный,0
112,летательный,летальный,1
113,гидрат,гидрант,1
114,негласный,ловкий,0
115,седельчатый,седельный,1
116,мелодичный,мелодический,1
117,Антарктика,зверский,0
118,наедине,в одиночестве,1
119,вдовый,лирический,0
120,рисковой,рисковый,1
121,взыскательный,циничный,0
122,оградить,огородить,1
123,вражеский,тяжкий,0
124,гордость,гордыня,1
125,заплатить,взрослить,0
126,духовный,духовой,1
127,овчарня,овчарка,1
128,штатский,экологический,0
129,весёлый,увеселительный,1
130,малоудачливый,малоудачный,1
131,новация,инновация,1
132,покупательный,покупательский,1
133,беззаконие,беззаконность,1
134,взаимопонимание,понимание,1
135,палатный,палаточный,1
136,схоластический,ординарческий,0
137,гидрат,схематический,0
138,личный,воинствующий,0
139,обезземелить,овчарка,0
140,разодеть,командировочный,0
141,травматический,меланхолический,0
142,публицистичный,вороний,0
143,здравица,кокотка,0
144,обязать,обвязать,1
145,болотный,болотистый,1
146,оделить,цепенить,0
147,взвалить,дельный,0
148,женственный,тупить,0
149,потёки,токсичный,0
150,авантюрист,авантюрин,1
151,заразный,заразительный,1
152,морозный,досадный,0
153,этический,этичный,1
154,бородастый,бородатый,1
155,динамический,микроскопичный,0
156,сравнительный,сладко,0
157,воинствующий,воинственный,1
158,заживать,заживлять,1
159,бедственный,бедный,1
160,оппортунистический,оппортунистичный,1
161,произношение,обогреть,0
162,демократичность,снискать,0
163,дрогнуть,лакировочный,0
164,днище,дно,1
165,болезненный,Финно-,0
166,живучий,лиричный,0
167,простудливый,простудный,1
168,аспирант,активировать,0
169,вязаться,безголосый,0
170,пуганый,пугливый,1
171,породить,породнить,1
172,злостный,стяжательный,0
173,инженерский,сопротивляемость,0
174,кокетка,кокотка,1
175,группа,группировка,1
176,жестокий,жёсткий,1
177,действо,гневливый,0
178,ветровой,ветряной,1
179,яблочный,яблоневый,1
180,беззаконие,незаметливый,0
181,диктат,диктант,1
182,подрядческий,искусно,0
183,рисковый,деспотизм,0
184,переливочный,переливчатый,1
185,обсудить,сбитый,0
186,истеричный,истерический,1
187,бродячий,бродяжий,1
188,системный,систематический,1
189,вязаться,авантюрист,0
190,кардинальский,кардинальный,1
191,кардинальный,кардинальский,1
192,цветы,зеленеть,0
193,учредительский,яблочный,0
194,эстетический,эстетичный,1
195,ломать,ломить,1
196,приглядливый,экономный,0
197,приютный,декларативный,0
198,будний,протрезвить,0
199,снискать,чародейный,0
200,даровой,отплатить,0
201,тягостный,тяжкий,1
202,разместить,поместить,1
203,оплатить,головашки,0
204,варкий,гончарный,0
205,грамматичный,грамматический,1
206,притязательный,безгласный,0
207,демонстрационный,временник,0
208,видение,видение,1
209,изыскательный,преобразовательный,0
210,гнездо,экскаватор,0
211,антипедагогичный,антипедагогический,1
212,собственнический,собственный,1
213,безответный,поспешный,0
